Collection,Height,Order,Family
ORCHARD,94,Coleoptera,Anthicidae
ORCHARD,62,Coleoptera,Anthicidae
ROCKY,105,Coleoptera,Trogossitidae
ORCHARD,82,Coleoptera,Meloidae
ROCKY,37,Coleoptera,Elateridae
ROCKY,55,Coleoptera,Cleridae
ORCHARD,64,Coleoptera,Silphidae
FARM,28,Coleoptera,Meloidae
ROCKY,107,Coleoptera,Dermestidae
ORCHARD,94,Coleoptera,Trogossitidae
FARM,85,Coleoptera,Elateridae
FARM,67,Coleoptera,Elateridae
ORCHARD,69,Coleoptera,Anthicidae
FARM,83,Coleoptera,Cleridae
ROCKY,55,Diptera,Simuliidae
FARM,78,Diptera,Oestridae
ROCKY,67,Diptera,Tipulidae
ROCKY,29,Diptera,Acroceridae
ORCHARD,46,Diptera,Simuliidae
